;establecimiento;Tipo;MkOffLine;MkBanda;Tarjeta;Libre1;NCupon;Dia;Mes;Anio;Libre2;Autoriz;Importe;Cuotas;TNABco;Ramo;MConver;Te1;TelOrig;TelDes;TelTpo
18;0032787574;; ; ;4865720000256593; ;00000009;30;10;21;  ;006980;000000000002600;  ;     ;        ;  ;   ;          ;                ;    
19;0032787574;; ; ;4865720000256593; ;00000009;19;11;21;  ;006980;000000000002600;  ;     ;        ;  ;   ;          ;                ;    
20;0032787574;; ; ;4865720000256593; ;00000009;09;12;21;  ;006980;000000000002600;  ;     ;        ;  ;   ;          ;                ;    
21;0032787574;; ; ;4865720000256593; ;00000009;29;12;21;  ;006980;000000000002600;  ;     ;        ;  ;   ;          ;                ;    
22;0037426772;; ; ;4865720000256593; ;00000011;30;10;21;  ;006947;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
23;0037426772;; ; ;4865720000256593; ;00000011;30;11;21;  ;006947;000000000004000;  ;     ;        ;  ;   ;          ;                ;    
24;0037426772;; ; ;4865720000256593; ;00000011;30;12;21;  ;006947;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
25;0032787574;; ; ;4865720000256593; ;00000013;28;76;89;  ;007421;000823148855308;  ;     ;        ;  ;   ;          ;                ;    
26;0032787574;; ; ;4865720000256593; ;00000013;00;00;45;  ;007421;000558976288231;  ;     ;        ;  ;   ;          ;                ;    
27;0032787574;; ; ;4865720000256593; ;00000013;08;53;85;  ;007421;000184500005589;  ;     ;        ;  ;   ;          ;                ;    
28;0032787574;; ; ;4865720000256593; ;00000013;31;82;28;  ;007421;000488553027948;  ;     ;        ;  ;   ;          ;                ;    
29;0032787574;; ; ;4865720000256593; ;00000013;00;00;00;  ;007421;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
30;0032787574;; ; ;4865720000256593; ;00000013;00;00;00;  ;007421;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
31;0032787574;; ; ;4865720000256593; ;00000013;00;00;00;  ;007421;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
32;0032787574;; ; ;4865720000256593; ;00000013;00;00;00;  ;007421;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
33;0032787574;; ; ;4865720000256593; ;00000013;00;00;00;  ;007421;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
34;0032787574;; ; ;4865720000256593; ;00000013;00;00;00;  ;007421;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
35;0032787574;; ; ;4865720000256593; ;00000013;00;00;00;  ;007421;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
36;0032787574;; ; ;4865720000256593; ;00000013;00;00;00;  ;007421;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
37;0032787574;; ; ;4865720000256577; ;00000040;11;10;21;  ;008164;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
38;0032787574;; ; ;4865720000256577; ;00000040;21;10;21;  ;008164;000000000014000;  ;     ;        ;  ;   ;          ;                ;    
39;0032787574;; ; ;4865720000256577; ;00000040;01;11;21;  ;008164;000000000009000;  ;     ;        ;  ;   ;          ;                ;    
40;0032787574;; ; ;4865720000256577; ;00000042;15;10;21;  ;007259;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
41;0032787574;; ; ;4865720000256577; ;00000042;04;11;21;  ;007259;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
42;0032787574;; ; ;4865720000256577; ;00000042;24;11;21;  ;007259;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
43;0032787574;; ; ;4865720000256577; ;00000042;14;12;21;  ;007259;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
44;0032787574;; ; ;4865720000256577; ;00000042;03;01;22;  ;007259;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
45;0032787574;; ; ;4865720000256577; ;00000042;23;01;22;  ;007259;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
46;0032787574;; ; ;4865720000256577; ;00000043;15;10;21;  ;016149;000000000003448;  ;     ;        ;  ;   ;          ;                ;    
47;0032787574;; ; ;4865720000256577; ;00000043;14;11;21;  ;016149;000000000003444;  ;     ;        ;  ;   ;          ;                ;    
48;0032787574;; ; ;4865720000256577; ;00000043;14;12;21;  ;016149;000000000003444;  ;     ;        ;  ;   ;          ;                ;    
49;0032787574;; ; ;4865720000256577; ;00000043;13;01;22;  ;016149;000000000003444;  ;     ;        ;  ;   ;          ;                ;    
50;0032787574;; ; ;4865720000256577; ;00000043;12;02;22;  ;016149;000000000003444;  ;     ;        ;  ;   ;          ;                ;    
51;0032787574;; ; ;4865720000256577; ;00000043;14;03;22;  ;016149;000000000003444;  ;     ;        ;  ;   ;          ;                ;    
52;0032787574;; ; ;4865720000256577; ;00000043;13;04;22;  ;016149;000000000003444;  ;     ;        ;  ;   ;          ;                ;    
53;0032787574;; ; ;4865720000256577; ;00000043;13;05;22;  ;016149;000000000003444;  ;     ;        ;  ;   ;          ;                ;    
54;0032787574;; ; ;4865720000256577; ;00000043;12;06;22;  ;016149;000000000003444;  ;     ;        ;  ;   ;          ;                ;    
55;0037426772;; ; ;4865720000256577; ;00000044;06;10;21;  ;006739;000000000000020;  ;     ;        ;  ;   ;          ;                ;    
56;0037426772;; ; ;4865720000256577; ;00000044;26;10;21;  ;006739;000000000001900;  ;     ;        ;  ;   ;          ;                ;    
57;0037426772;; ; ;4865720000256577; ;00000044;03;11;21;  ;006739;000000000000480;  ;     ;        ;  ;   ;          ;                ;    
58;0037426772;; ; ;4865720000256577; ;00000044;23;11;21;  ;006739;000000000000600;  ;     ;        ;  ;   ;          ;                ;    
59;0037426772;; ; ;4865720000256577; ;00000044;07;12;21;  ;006739;000000000029000;  ;     ;        ;  ;   ;          ;                ;    
60;0032787574;; ; ;4865720000256577; ;00000045;28;76;89;  ;006826;000823148855308;  ;     ;        ;  ;   ;          ;                ;    
61;0032787574;; ; ;4865720000256577; ;00000045;00;00;45;  ;006826;000558976288231;  ;     ;        ;  ;   ;          ;                ;    
62;0032787574;; ; ;4865720000256577; ;00000045;08;53;85;  ;006826;000184500005589;  ;     ;        ;  ;   ;          ;                ;    
63;0032787574;; ; ;4865720000256577; ;00000045;31;82;28;  ;006826;000488553027948;  ;     ;        ;  ;   ;          ;                ;    
64;0032787574;; ; ;4865720000256577; ;00000045;00;00;00;  ;006826;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
65;0032787574;; ; ;4865720000256577; ;00000045;00;00;00;  ;006826;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
66;0032787574;; ; ;4865720000256577; ;00000045;00;00;00;  ;006826;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
67;0032787574;; ; ;4865720000256577; ;00000045;00;00;00;  ;006826;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
68;0032787574;; ; ;4865720000256577; ;00000045;00;00;00;  ;006826;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
69;0032787574;; ; ;4865720000256577; ;00000045;00;00;00;  ;006826;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
70;0032787574;; ; ;4865720000256593; ;00000019;10;10;21;  ;006579;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
71;0032787574;; ; ;4865720000256593; ;00000019;10;11;21;  ;006579;000000000004000;  ;     ;        ;  ;   ;          ;                ;    
72;0032787574;; ; ;4865720000256593; ;00000019;10;12;21;  ;006579;000000000008000;  ;     ;        ;  ;   ;          ;                ;    
73;0032787574;; ; ;4865720000256593; ;00000020;30;10;21;  ;007348;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
74;0032787574;; ; ;4865720000256593; ;00000020;30;11;21;  ;007348;000000000006000;  ;     ;        ;  ;   ;          ;                ;    
75;0032787574;; ; ;4865720000256593; ;00000020;30;12;21;  ;007348;000000000007000;  ;     ;        ;  ;   ;          ;                ;    
76;0032787574;; ; ;4865720000256593; ;00000022;10;10;21;  ;006498;000000000006000;  ;     ;        ;  ;   ;          ;                ;    
77;0032787574;; ; ;4865720000256593; ;00000022;10;11;21;  ;006498;000000000006000;  ;     ;        ;  ;   ;          ;                ;    
78;0032787574;; ; ;4865720000256593; ;00000022;10;12;21;  ;006498;000000000007000;  ;     ;        ;  ;   ;          ;                ;    
79;0032787574;; ; ;4865720000256593; ;00000023;15;10;21;  ;006790;000000000004750;  ;     ;        ;  ;   ;          ;                ;    
80;0032787574;; ; ;4865720000256593; ;00000023;04;11;21;  ;006790;000000000004750;  ;     ;        ;  ;   ;          ;                ;    
81;0032787574;; ; ;4865720000256593; ;00000023;24;11;21;  ;006790;000000000004750;  ;     ;        ;  ;   ;          ;                ;    
82;0032787574;; ; ;4865720000256593; ;00000023;14;12;21;  ;006790;000000000004750;  ;     ;        ;  ;   ;          ;                ;    
83;0032787574;; ; ;4865720000256593; ;00000024;15;10;21;  ;007077;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
84;0032787574;; ; ;4865720000256593; ;00000024;04;11;21;  ;007077;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
85;0032787574;; ; ;4865720000256593; ;00000024;24;11;21;  ;007077;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
86;0032787574;; ; ;4865720000256593; ;00000024;14;12;21;  ;007077;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
87;0037426772;; ; ;4865720000256593; ;00000026;15;10;21;  ;012187;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
88;0037426772;; ; ;4865720000256593; ;00000026;30;10;21;  ;012187;000000000007000;  ;     ;        ;  ;   ;          ;                ;    
89;0037426772;; ; ;4865720000256593; ;00000026;15;11;21;  ;012187;000000000010000;  ;     ;        ;  ;   ;          ;                ;    
90;0032787574;; ; ;4865720000256593; ;00000027;28;76;89;  ;017058;000823148855308;  ;     ;        ;  ;   ;          ;                ;    
91;0032787574;; ; ;4865720000256593; ;00000027;00;00;45;  ;017058;000558976288231;  ;     ;        ;  ;   ;          ;                ;    
92;0032787574;; ; ;4865720000256593; ;00000027;08;53;85;  ;017058;000184500005589;  ;     ;        ;  ;   ;          ;                ;    
93;0032787574;; ; ;4865720000256593; ;00000027;31;82;28;  ;017058;000488553027948;  ;     ;        ;  ;   ;          ;                ;    
94;0032787574;; ; ;4865720000256593; ;00000027;00;00;00;  ;017058;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
95;0032787574;; ; ;4865720000256593; ;00000027;00;00;00;  ;017058;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
96;0032787574;; ; ;4865720000256593; ;00000027;00;00;00;  ;017058;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
97;0032787574;; ; ;4865720000256593; ;00000027;00;00;00;  ;017058;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
98;0032787574;; ; ;4865720000256593; ;00000027;00;00;00;  ;017058;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
99;0032787574;; ; ;4865720000256593; ;00000027;00;00;00;  ;017058;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
100;0032787574;; ; ;4865720000256593; ;00000027;00;00;00;  ;017058;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
101;0032787574;; ; ;4865720000256593; ;00000027;00;00;00;  ;017058;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
102;0032787574;; ; ;4865720000256593; ;00000031;28;76;89;  ;007183;000823148855308;  ;     ;        ;  ;   ;          ;                ;    
103;0032787574;; ; ;4865720000256593; ;00000031;00;00;45;  ;007183;000558976288231;  ;     ;        ;  ;   ;          ;                ;    
104;0032787574;; ; ;4865720000256593; ;00000031;08;53;85;  ;007183;000184500005589;  ;     ;        ;  ;   ;          ;                ;    
105;0032787574;; ; ;4865720000256593; ;00000031;31;82;28;  ;007183;000488553027948;  ;     ;        ;  ;   ;          ;                ;    
106;0032787574;; ; ;4865720000256593; ;00000031;00;00;00;  ;007183;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
107;0032787574;; ; ;4865720000256593; ;00000031;00;00;00;  ;007183;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
108;0032787574;; ; ;4865720000256593; ;00000031;00;00;00;  ;007183;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
109;0032787574;; ; ;4865720000256593; ;00000031;00;00;00;  ;007183;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
110;0032787574;; ; ;4865720000256593; ;00000031;00;00;00;  ;007183;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
111;0032787574;; ; ;4865720000256593; ;00000031;00;00;00;  ;007183;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
112;0032787574;; ; ;4865720000256593; ;00000031;00;00;00;  ;007183;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
113;0032787574;; ; ;4865720000256593; ;00000031;00;00;00;  ;007183;000000000000000;  ;     ;        ;  ;   ;          ;                ;    
114;0032787574;; ; ;4865720000256593; ;00000032;10;10;21;  ;008033;000000000004000;  ;     ;        ;  ;   ;          ;                ;    
115;0032787574;; ; ;4865720000256593; ;00000032;20;10;21;  ;008033;000000000003000;  ;     ;        ;  ;   ;          ;                ;    
116;0032787574;; ; ;4865720000256593; ;00000032;30;10;21;  ;008033;000000000017000;  ;     ;        ;  ;   ;          ;                ;    
117;0032787574;; ; ;4865720000256593; ;00000034;15;10;21;  ;007294;000000000005000;  ;     ;        ;  ;   ;          ;                ;    
118;0032787574;; ; ;4865720000256593; ;00000034;30;10;21;  ;007294;000000000004000;  ;     ;        ;  ;   ;          ;                ;    
119;0032787574;; ; ;4865720000256593; ;00000034;15;11;21;  ;007294;000000000016000;  ;     ;        ;  ;   ;          ;                ;    
120;0032787574;; ; ;4865720000256593; ;00000036;10;10;21;  ;006554;000000000006500;  ;     ;        ;  ;   ;          ;                ;    
121;0032787574;; ; ;4865720000256593; ;00000036;25;10;21;  ;006554;000000000006500;  ;     ;        ;  ;   ;          ;                ;    
122;0032787574;; ; ;4865720000256593; ;00000036;09;11;21;  ;006554;000000000006500;  ;     ;        ;  ;   ;          ;                ;    
123;0032787574;; ; ;4865720000256593; ;00000036;24;11;21;  ;006554;000000000006500;  ;     ;        ;  ;   ;          ;                ;    
124;0032787574;; ; ;4865720000256593; ;00000038;20;10;21;  ;008436;000000000005400;  ;     ;        ;  ;   ;          ;                ;    
125;0032787574;; ; ;4865720000256593; ;00000038;04;11;21;  ;008436;000000000005400;  ;     ;        ;  ;   ;          ;                ;    
126;0032787574;; ; ;4865720000256593; ;00000038;19;11;21;  ;008436;000000000005400;  ;     ;        ;  ;   ;          ;                ;    
127;0032787574;; ; ;4865720000256593; ;00000038;04;12;21;  ;008436;000000000005400;  ;     ;        ;  ;   ;          ;                ;    
128;0032787574;; ; ;4865720000256593; ;00000038;19;12;21;  ;008436;000000000005400;  ;     ;        ;  ;   ;          ;                ;    
129;0041662941;;F; ;4425484553159182; ;00000000;17;01;19;  ;000000;000000000019100;  ;     ;        ;  ;   ;          ;                ;    
130;0041662941;;F; ;4425484553159182; ;00000000;17;01;19;  ;000000;000000000001100;99;     ;        ;  ;   ;          ;                ;    
